Layer,BER Value,Average Accuracy
conv1,1e-05,64.41999999999999
conv1,0.0007235714285714287,64.226
conv1,0.0014371428571428573,64.116
conv1,0.0021507142857142857,63.93999999999999
conv1,0.0028642857142857146,63.63133333333333
conv1,0.0035778571428571435,63.708666666666666
conv1,0.004291428571428571,63.62133333333333
conv1,0.005005,63.27000000000001
conv1,0.005718571428571429,62.788
conv1,0.006432142857142858,62.84533333333333
conv1,0.0071457142857142865,62.510666666666665
conv1,0.007859285714285714,62.42666666666666
conv1,0.008572857142857142,62.096666666666664
conv1,0.009286428571428572,62.08599999999999
conv1,0.01,61.08
conv2,1e-05,64.41733333333333
conv2,0.0007235714285714287,64.27933333333333
conv2,0.0014371428571428573,64.34466666666665
conv2,0.0021507142857142857,64.19533333333332
conv2,0.0028642857142857146,64.23333333333333
conv2,0.0035778571428571435,64.196
conv2,0.004291428571428571,64.018
conv2,0.005005,63.87400000000001
conv2,0.005718571428571429,63.70533333333333
