Layer,Sigma Value,Average Accuracy
conv1,0.0,63.92
conv1,0.0125,63.93
conv1,0.025,63.93
conv1,0.037500000000000006,63.91
conv1,0.05,63.87
conv2,0.0,63.92
conv2,0.0125,63.91
conv2,0.025,63.97
conv2,0.037500000000000006,63.85
conv2,0.05,63.87
conv3,0.0,63.92
conv3,0.0125,63.95
conv3,0.025,63.9
conv3,0.037500000000000006,63.84
conv3,0.05,63.9
conv4,0.0,63.92
conv4,0.0125,63.98
conv4,0.025,63.91
conv4,0.037500000000000006,63.89
conv4,0.05,63.68
conv5,0.0,63.92
conv5,0.0125,63.91
conv5,0.025,63.97
conv5,0.037500000000000006,63.58
conv5,0.05,63.94
conv6,0.0,63.92
conv6,0.0125,63.85
conv6,0.025,63.92
conv6,0.037500000000000006,63.82
conv6,0.05,63.86
conv7,0.0,63.92
conv7,0.0125,63.92
conv7,0.025,63.91
conv7,0.037500000000000006,63.94
conv7,0.05,63.85
conv8,0.0,63.92
conv8,0.0125,63.92
conv8,0.025,63.94
conv8,0.037500000000000006,63.95
conv8,0.05,63.97
fc1,0.0,63.92
fc1,0.0125,63.92
fc1,0.025,63.92
fc1,0.037500000000000006,63.91
fc1,0.05,63.91
fc2,0.0,63.92
fc2,0.0125,63.92
fc2,0.025,63.92
fc2,0.037500000000000006,63.92
fc2,0.05,63.92
