Layer,BER Value,Average Accuracy
conv1,1e-05,63.92
conv1,0.0007235714285714287,63.92
conv1,0.0014371428571428573,63.45
conv1,0.0021507142857142857,63.75
conv1,0.0028642857142857146,63.6
conv1,0.0035778571428571435,62.87
conv1,0.004291428571428571,63.55
conv1,0.005005,63.0
conv1,0.005718571428571429,62.89
conv1,0.006432142857142858,61.8
conv1,0.0071457142857142865,60.78
conv1,0.007859285714285714,60.65
conv1,0.008572857142857142,62.1
conv1,0.009286428571428572,62.49
conv1,0.01,57.89
conv2,1e-05,63.9
conv2,0.0007235714285714287,63.89
conv2,0.0014371428571428573,63.56
conv2,0.0021507142857142857,63.33
conv2,0.0028642857142857146,63.77
conv2,0.0035778571428571435,63.55
conv2,0.004291428571428571,63.03
conv2,0.005005,63.46
conv2,0.005718571428571429,62.24
conv2,0.006432142857142858,62.91
conv2,0.0071457142857142865,62.76
conv2,0.007859285714285714,62.47
conv2,0.008572857142857142,63.08
conv2,0.009286428571428572,62.0
conv2,0.01,62.26
conv3,1e-05,63.92
conv3,0.0007235714285714287,63.79
conv3,0.0014371428571428573,63.59
conv3,0.0021507142857142857,63.51
conv3,0.0028642857142857146,63.78
conv3,0.0035778571428571435,63.51
conv3,0.004291428571428571,63.28
conv3,0.005005,63.5
conv3,0.005718571428571429,62.91
conv3,0.006432142857142858,63.34
conv3,0.0071457142857142865,62.98
conv3,0.007859285714285714,62.69
conv3,0.008572857142857142,63.43
conv3,0.009286428571428572,62.69
conv3,0.01,62.34
conv4,1e-05,63.92
conv4,0.0007235714285714287,63.94
conv4,0.0014371428571428573,63.71
conv4,0.0021507142857142857,64.02
conv4,0.0028642857142857146,63.6
conv4,0.0035778571428571435,63.57
conv4,0.004291428571428571,63.66
conv4,0.005005,63.61
conv4,0.005718571428571429,63.74
conv4,0.006432142857142858,63.89
conv4,0.0071457142857142865,63.22
conv4,0.007859285714285714,63.86
conv4,0.008572857142857142,63.58
conv4,0.009286428571428572,63.46
conv4,0.01,63.38
conv5,1e-05,63.93
conv5,0.0007235714285714287,64.05
conv5,0.0014371428571428573,63.67
conv5,0.0021507142857142857,63.81
conv5,0.0028642857142857146,63.84
conv5,0.0035778571428571435,63.4
conv5,0.004291428571428571,63.54
conv5,0.005005,63.68
conv5,0.005718571428571429,63.45
conv5,0.006432142857142858,63.5
conv5,0.0071457142857142865,63.19
conv5,0.007859285714285714,63.57
conv5,0.008572857142857142,63.42
conv5,0.009286428571428572,62.99
conv5,0.01,63.13
conv6,1e-05,63.9
conv6,0.0007235714285714287,63.86
conv6,0.0014371428571428573,63.79
conv6,0.0021507142857142857,63.74
conv6,0.0028642857142857146,64.06
conv6,0.0035778571428571435,63.5
conv6,0.004291428571428571,63.76
conv6,0.005005,63.85
conv6,0.005718571428571429,63.34
conv6,0.006432142857142858,63.79
conv6,0.0071457142857142865,63.92
conv6,0.007859285714285714,63.4
conv6,0.008572857142857142,63.54
conv6,0.009286428571428572,63.59
conv6,0.01,63.37
conv7,1e-05,63.88
conv7,0.0007235714285714287,63.81
conv7,0.0014371428571428573,63.7
conv7,0.0021507142857142857,63.63
conv7,0.0028642857142857146,63.81
conv7,0.0035778571428571435,63.46
conv7,0.004291428571428571,63.49
conv7,0.005005,63.48
conv7,0.005718571428571429,63.32
conv7,0.006432142857142858,63.08
conv7,0.0071457142857142865,63.3
conv7,0.007859285714285714,63.12
conv7,0.008572857142857142,63.28
conv7,0.009286428571428572,63.1
conv7,0.01,62.82
conv8,1e-05,63.97
conv8,0.0007235714285714287,63.74
conv8,0.0014371428571428573,63.77
conv8,0.0021507142857142857,63.79
conv8,0.0028642857142857146,63.55
conv8,0.0035778571428571435,63.86
conv8,0.004291428571428571,63.53
conv8,0.005005,63.36
conv8,0.005718571428571429,63.43
conv8,0.006432142857142858,63.21
conv8,0.0071457142857142865,63.35
conv8,0.007859285714285714,63.39
conv8,0.008572857142857142,63.26
conv8,0.009286428571428572,63.33
conv8,0.01,62.96
fc1,1e-05,63.92
fc1,0.0007235714285714287,63.7
fc1,0.0014371428571428573,63.58
fc1,0.0021507142857142857,63.64
fc1,0.0028642857142857146,63.53
fc1,0.0035778571428571435,63.37
fc1,0.004291428571428571,63.57
fc1,0.005005,63.32
fc1,0.005718571428571429,63.29
fc1,0.006432142857142858,63.32
fc1,0.0071457142857142865,62.84
fc1,0.007859285714285714,63.05
fc1,0.008572857142857142,62.96
fc1,0.009286428571428572,62.87
fc1,0.01,62.6
fc2,1e-05,63.92
fc2,0.0007235714285714287,63.58
fc2,0.0014371428571428573,63.59
fc2,0.0021507142857142857,63.44
fc2,0.0028642857142857146,62.77
fc2,0.0035778571428571435,63.15
fc2,0.004291428571428571,62.51
fc2,0.005005,61.39
fc2,0.005718571428571429,61.81
fc2,0.006432142857142858,60.34
fc2,0.0071457142857142865,60.9
fc2,0.007859285714285714,60.37
fc2,0.008572857142857142,58.09
fc2,0.009286428571428572,60.81
fc2,0.01,60.52
