Sigma Value,Average Accuracy
0.0,64.41999999999999
0.00035714285714285714,64.40733333333333
0.0007142857142857143,64.374
0.0010714285714285715,64.388
0.0014285714285714286,64.35999999999999
0.0017857142857142857,64.34599999999999
0.002142857142857143,64.33733333333332
0.0025,64.34799999999998
0.002857142857142857,64.41266666666667
0.0032142857142857142,64.30666666666666
0.0035714285714285713,64.34066666666668
0.003928571428571429,64.324
0.004285714285714286,64.326
0.004642857142857143,64.33333333333333
0.005,64.31666666666668
