Sigma Value,Average Accuracy
0.0,63.91999999999999
0.0071428571428571435,63.944
0.014285714285714287,63.88866666666668
0.02142857142857143,63.876
0.028571428571428574,63.79200000000001
0.03571428571428572,63.77133333333334
0.04285714285714286,63.71733333333332
0.05,63.624
0.05714285714285715,63.535333333333334
0.0642857142857143,63.440666666666665
0.07142857142857144,63.29600000000001
0.07857142857142858,63.155333333333346
0.08571428571428572,63.16
0.09285714285714286,63.07066666666666
0.1,62.933333333333344
