Layer,BER Value,Average Accuracy
conv1,1e-05,63.91999999999999
conv1,0.0007235714285714287,63.63800000000001
conv1,0.0014371428571428573,63.42466666666665
conv1,0.0021507142857142857,63.188
conv1,0.0028642857142857146,63.05200000000001
conv1,0.0035778571428571435,63.06066666666667
conv1,0.004291428571428571,62.63733333333333
conv1,0.005005,62.475333333333325
conv1,0.005718571428571429,61.828
conv1,0.006432142857142858,61.92133333333333
conv1,0.0071457142857142865,61.381333333333345
conv1,0.007859285714285714,61.26066666666667
conv1,0.008572857142857142,60.414
conv1,0.009286428571428572,60.76266666666667
conv1,0.01,60.598000000000006
conv2,1e-05,63.91666666666665
conv2,0.0007235714285714287,63.79999999999999
conv2,0.0014371428571428573,63.582
conv2,0.0021507142857142857,63.47466666666666
conv2,0.0028642857142857146,63.508666666666656
conv2,0.0035778571428571435,63.50266666666666
conv2,0.004291428571428571,63.236
conv2,0.005005,63.01733333333333
conv2,0.005718571428571429,62.932
conv2,0.006432142857142858,62.87266666666667
conv2,0.0071457142857142865,62.866
conv2,0.007859285714285714,62.660666666666664
conv2,0.008572857142857142,62.211999999999996
conv2,0.009286428571428572,62.15066666666668
conv2,0.01,62.11266666666666
conv3,1e-05,63.90866666666666
conv3,0.0007235714285714287,63.822
conv3,0.0014371428571428573,63.693999999999996
conv3,0.0021507142857142857,63.53933333333334
conv3,0.0028642857142857146,63.525999999999996
conv3,0.0035778571428571435,63.50333333333333
conv3,0.004291428571428571,63.36466666666668
conv3,0.005005,63.19933333333334
conv3,0.005718571428571429,63.15800000000001
conv3,0.006432142857142858,63.05200000000001
conv3,0.0071457142857142865,62.98733333333333
conv3,0.007859285714285714,62.73933333333333
conv3,0.008572857142857142,62.91133333333334
conv3,0.009286428571428572,62.63200000000001
conv3,0.01,62.64133333333333
conv4,1e-05,63.90933333333332
conv4,0.0007235714285714287,63.92266666666668
conv4,0.0014371428571428573,63.80933333333334
conv4,0.0021507142857142857,63.84666666666668
conv4,0.0028642857142857146,63.77733333333334
conv4,0.0035778571428571435,63.77266666666666
conv4,0.004291428571428571,63.75266666666667
conv4,0.005005,63.702000000000005
conv4,0.005718571428571429,63.63466666666667
conv4,0.006432142857142858,63.57933333333334
conv4,0.0071457142857142865,63.64800000000002
conv4,0.007859285714285714,63.55200000000001
conv4,0.008572857142857142,63.50933333333332
conv4,0.009286428571428572,63.534000000000006
conv4,0.01,63.50599999999999
conv5,1e-05,63.91733333333333
conv5,0.0007235714285714287,63.85666666666666
conv5,0.0014371428571428573,63.733333333333334
conv5,0.0021507142857142857,63.752
conv5,0.0028642857142857146,63.69200000000001
conv5,0.0035778571428571435,63.62466666666668
conv5,0.004291428571428571,63.537333333333336
conv5,0.005005,63.535333333333334
conv5,0.005718571428571429,63.41066666666666
conv5,0.006432142857142858,63.358666666666664
conv5,0.0071457142857142865,63.327333333333335
conv5,0.007859285714285714,63.30133333333334
conv5,0.008572857142857142,63.33399999999999
conv5,0.009286428571428572,63.24666666666667
conv5,0.01,63.13066666666666
conv6,1e-05,63.90999999999998
conv6,0.0007235714285714287,63.896
conv6,0.0014371428571428573,63.82799999999999
conv6,0.0021507142857142857,63.76200000000001
conv6,0.0028642857142857146,63.66666666666667
conv6,0.0035778571428571435,63.66799999999999
conv6,0.004291428571428571,63.65
conv6,0.005005,63.650000000000006
conv6,0.005718571428571429,63.55666666666666
conv6,0.006432142857142858,63.591333333333324
conv6,0.0071457142857142865,63.53066666666667
conv6,0.007859285714285714,63.504
conv6,0.008572857142857142,63.342
conv6,0.009286428571428572,63.45933333333333
conv6,0.01,63.31600000000001
conv7,1e-05,63.91799999999999
conv7,0.0007235714285714287,63.824000000000005
conv7,0.0014371428571428573,63.75733333333332
conv7,0.0021507142857142857,63.684000000000005
conv7,0.0028642857142857146,63.53866666666666
conv7,0.0035778571428571435,63.47733333333333
conv7,0.004291428571428571,63.443333333333335
conv7,0.005005,63.43466666666667
conv7,0.005718571428571429,63.33066666666668
conv7,0.006432142857142858,63.214000000000006
conv7,0.0071457142857142865,63.17266666666668
conv7,0.007859285714285714,63.08133333333334
conv7,0.008572857142857142,63.07733333333333
conv7,0.009286428571428572,62.976000000000006
conv7,0.01,62.912666666666674
conv8,1e-05,63.918
conv8,0.0007235714285714287,63.90133333333334
conv8,0.0014371428571428573,63.69199999999999
conv8,0.0021507142857142857,63.791333333333334
conv8,0.0028642857142857146,63.64733333333332
conv8,0.0035778571428571435,63.61933333333334
