BER Value,Average Accuracy
1e-05,63.907999999999994
0.0007235714285714287,62.91066666666667
0.0014371428571428573,61.98866666666666
0.0021507142857142857,60.900666666666666
0.0028642857142857146,60.373333333333335
0.0035778571428571435,59.36466666666667
0.004291428571428571,58.06933333333333
0.005005,57.022
0.005718571428571429,54.93666666666665
0.006432142857142858,54.25133333333334
0.0071457142857142865,54.39933333333334
0.007859285714285714,52.158666666666676
0.008572857142857142,51.60133333333333
0.009286428571428572,50.865333333333325
0.01,50.078
