Sigma Value,Average Accuracy
0.0,64.44000000000003
0.0071428571428571435,64.50866666666666
0.014285714285714287,64.53199999999998
0.02142857142857143,64.48266666666667
0.028571428571428574,64.47999999999999
0.03571428571428572,64.434
0.04285714285714286,64.39000000000001
0.05,64.37999999999998
0.05714285714285715,64.30933333333333
0.0642857142857143,64.22
0.07142857142857144,64.16733333333335
0.07857142857142858,64.01333333333334
0.08571428571428572,63.97533333333333
0.09285714285714286,63.77066666666667
0.1,63.69066666666666
