Layer,Sigma Value,Average Accuracy
conv1,0.0,64.76
conv1,0.0035714285714285718,64.31
conv1,0.0071428571428571435,54.68
conv1,0.010714285714285714,58.21
conv1,0.014285714285714287,64.77
conv1,0.01785714285714286,51.49
conv1,0.02142857142857143,13.88
conv1,0.025,39.94
conv1,0.028571428571428574,41.52
conv1,0.03214285714285715,17.22
conv1,0.03571428571428572,33.37
conv1,0.03928571428571429,61.32
conv1,0.04285714285714286,14.36
conv1,0.04642857142857143,9.14
conv1,0.05,61.61
conv2,0.0,64.76
conv2,0.0035714285714285718,64.07
conv2,0.0071428571428571435,55.02
conv2,0.010714285714285714,60.94
conv2,0.014285714285714287,3.87
conv2,0.01785714285714286,1.0
conv2,0.02142857142857143,51.35
conv2,0.025,62.69
conv2,0.028571428571428574,63.96
conv2,0.03214285714285715,64.59
conv2,0.03571428571428572,1.54
conv2,0.03928571428571429,1.98
conv2,0.04285714285714286,1.0
conv2,0.04642857142857143,1.0
conv2,0.05,3.9
conv3,0.0,64.76
conv3,0.0035714285714285718,64.6
conv3,0.0071428571428571435,28.78
conv3,0.010714285714285714,47.96
conv3,0.014285714285714287,62.6
conv3,0.01785714285714286,8.3
conv3,0.02142857142857143,1.67
conv3,0.025,7.56
conv3,0.028571428571428574,2.14
conv3,0.03214285714285715,11.19
conv3,0.03571428571428572,8.88
conv3,0.03928571428571429,24.04
conv3,0.04285714285714286,9.4
conv3,0.04642857142857143,2.23
conv3,0.05,64.67
conv4,0.0,64.76
conv4,0.0035714285714285718,63.58
conv4,0.0071428571428571435,61.74
conv4,0.010714285714285714,64.06
conv4,0.014285714285714287,62.29
conv4,0.01785714285714286,61.96
conv4,0.02142857142857143,56.01
conv4,0.025,5.19
conv4,0.028571428571428574,59.38
conv4,0.03214285714285715,64.57
conv4,0.03571428571428572,61.05
conv4,0.03928571428571429,1.53
conv4,0.04285714285714286,2.02
conv4,0.04642857142857143,49.16
conv4,0.05,17.1
conv5,0.0,64.76
conv5,0.0035714285714285718,64.44
conv5,0.0071428571428571435,62.47
conv5,0.010714285714285714,62.63
conv5,0.014285714285714287,53.49
conv5,0.01785714285714286,47.63
conv5,0.02142857142857143,51.67
conv5,0.025,19.77
conv5,0.028571428571428574,1.0
conv5,0.03214285714285715,63.5
conv5,0.03571428571428572,23.84
conv5,0.03928571428571429,26.31
conv5,0.04285714285714286,64.57
conv5,0.04642857142857143,62.97
conv5,0.05,25.94
conv6,0.0,64.76
conv6,0.0035714285714285718,63.79
conv6,0.0071428571428571435,48.71
conv6,0.010714285714285714,60.86
conv6,0.014285714285714287,62.46
conv6,0.01785714285714286,61.21
conv6,0.02142857142857143,16.18
conv6,0.025,64.78
conv6,0.028571428571428574,58.77
conv6,0.03214285714285715,1.0
conv6,0.03571428571428572,42.04
conv6,0.03928571428571429,37.94
conv6,0.04285714285714286,28.55
conv6,0.04642857142857143,32.1
conv6,0.05,40.21
conv7,0.0,64.76
conv7,0.0035714285714285718,64.59
conv7,0.0071428571428571435,63.54
conv7,0.010714285714285714,64.44
conv7,0.014285714285714287,60.01
conv7,0.01785714285714286,58.99
conv7,0.02142857142857143,63.36
conv7,0.025,1.0
conv7,0.028571428571428574,64.35
conv7,0.03214285714285715,59.48
conv7,0.03571428571428572,64.77
conv7,0.03928571428571429,60.91
conv7,0.04285714285714286,24.21
conv7,0.04642857142857143,1.0
conv7,0.05,21.3
conv8,0.0,64.76
conv8,0.0035714285714285718,51.38
conv8,0.0071428571428571435,63.92
conv8,0.010714285714285714,61.76
conv8,0.014285714285714287,64.4
conv8,0.01785714285714286,38.4
conv8,0.02142857142857143,1.0
conv8,0.025,64.52
conv8,0.028571428571428574,5.13
conv8,0.03214285714285715,34.27
conv8,0.03571428571428572,36.58
conv8,0.03928571428571429,1.0
conv8,0.04285714285714286,3.09
conv8,0.04642857142857143,1.0
conv8,0.05,40.53
fc1,0.0,64.76
fc1,0.0035714285714285718,64.74
fc1,0.0071428571428571435,63.9
fc1,0.010714285714285714,64.46
fc1,0.014285714285714287,59.2
fc1,0.01785714285714286,57.13
fc1,0.02142857142857143,64.06
fc1,0.025,63.69
fc1,0.028571428571428574,53.95
fc1,0.03214285714285715,64.32
fc1,0.03571428571428572,1.39
fc1,0.03928571428571429,58.44
fc1,0.04285714285714286,57.73
fc1,0.04642857142857143,6.55
fc1,0.05,14.64
fc2,0.0,64.76
fc2,0.0035714285714285718,64.76
fc2,0.0071428571428571435,64.76
fc2,0.010714285714285714,64.76
fc2,0.014285714285714287,64.76
fc2,0.01785714285714286,64.76
fc2,0.02142857142857143,64.76
fc2,0.025,64.76
fc2,0.028571428571428574,64.76
fc2,0.03214285714285715,64.77
fc2,0.03571428571428572,64.76
fc2,0.03928571428571429,64.76
fc2,0.04285714285714286,64.76
fc2,0.04642857142857143,64.76
fc2,0.05,64.76
